,url,timestamp,pageType,year,month,day
132,http://www.predpol.com/piedmont-california-civic-organization-highlights-predpol/,20130728141942,blog,2013,7,28
133,http://www.predpol.com/predpol-featured-on-ajams-techknow-show/,20160306062834,blog,2016,3,6
134,http://www.predpol.com/predpol-featured-on-cnn-2/,20131110011619,blog,2013,11,10
135,http://www.predpol.com/alhambra-police-laud-predpol-successes/,20140320163229,blog,2014,3,20
136,http://www.predpol.com/predpol-scores-high-marks-on-security-tests/,0,blog,0,0,0
137,http://www.predpol.com/digital-magazine-the-ascender-features-predpols-norcross-rollout/,20210923115505,blog,2021,9,23
138,http://www.predpol.com/australian-newspaper-features-predpol/,20210726012433,blog,2021,7,26
139,http://www.predpol.com/predpol-at-iaca-training-conference/,0,blog,0,0,0
140,http://www.predpol.com/new-york-times-features-predpol-and-seattle-police/,20130728142827,blog,2013,7,28
141,http://www.predpol.com/uk-magazine-features-predpol/,20210923123246,blog,2021,9,23
142,http://www.predpol.com/government-technology-magazine-features-predpol-deployment-in-tacoma/,20141104120150,blog,2014,11,4
143,http://www.predpol.com/columbia-south-carolina-launches-predpol/,20130728142757,blog,2013,7,28
144,http://www.predpol.com/french-media-features-predictive-policing/,20140216141948,blog,2014,2,16
145,http://www.predpol.com/woodland-police-enlist-predictive-policing/,20200714101348,blog,2020,7,14
146,http://www.predpol.com/atlanta-police-chief-george-turner-highlights-predpol-usage/,20140619210455,blog,2014,6,19
147,http://www.predpol.com/whyy-in-philadelphia-highlights-predpol/,20131114022909,blog,2013,11,14
148,http://www.predpol.com/predpol-algorithm-credited-for-reduced-crime/,0,blog,0,0,0
149,http://www.predpol.com/norcross-police-have-big-first-day-with-predpol/,0,blog,0,0,0
150,http://www.predpol.com/sacbee-online-predpol-results-in-dramatic-crime-reduction/,20140320121403,blog,2014,3,20
151,http://www.predpol.com/fbi-law-enforcement-magazine-features-predpol/,20210726002658,blog,2021,7,26
152,http://www.predpol.com/tacoma-police-launch-predpol/,20130303013128,blog,2013,3,3
153,http://www.predpol.com/kuam-guam-notes-predpols-role-in-crime-reduction/,0,blog,0,0,0
154,http://www.predpol.com/predpol-partners-lapd-foothill-records-day-without-crime/,20140320113552,blog,2014,3,20
155,http://www.predpol.com/predpol-featured-on-minnesota-public-radio/,20140317223102,blog,2014,3,17
156,http://www.predpol.com/predictive-policing-leads-to-large-drop-in-burglaries/,20210213184527,blog,2021,2,13
157,http://www.predpol.com/predpol-hires-new-ceo-continues-scaling/,20140320113546,blog,2014,3,20
158,http://www.predpol.com/predpols-predictive-policing-software-featured-in-the-economist/,20130729121913,blog,2013,7,29
159,http://www.predpol.com/predpol-to-join-lapd-at-foothill-crimefighters-conference/,20130304115506,blog,2013,3,4
160,http://www.predpol.com/new-canterbury-chief-police-inspector-welcomes-predpol/,20130728142803,blog,2013,7,28
161,http://www.predpol.com/predpol-featured-on-the-legal-talk-network/,0,blog,0,0,0
162,http://www.predpol.com/alhambra-polices-success-with-predpol-featured-in-international-newspaper/,20210726011000,blog,2021,7,26
163,http://www.predpol.com/cbs-news-highlights-norcross-predpol-crime-reductions/,20140117142938,blog,2014,1,17
164,http://www.predpol.com/cbsfox-affiliate-features-predpol-gun-violence-prediction-tool/,20210726005018,blog,2021,7,26
165,http://www.predpol.com/lauderhill-florida-pd-predpol-deployment-wsvn/,20140619032052,blog,2014,6,19
166,http://www.predpol.com/the-creation-of-predpol-the-predictive-policing-company/,20150225163343,blog,2015,2,25
167,http://www.predpol.com/thank-you-iaca-crime-analysts/,20210923125523,blog,2021,9,23
168,http://www.predpol.com/predpol-software-featured-on-security-blog/,20130728142352,blog,2013,7,28
169,http://www.predpol.com/san-diego-union-tribune-newspaper-highlights-predpol/,20210726011301,blog,2021,7,26
170,http://www.predpol.com/kmworld-magazines-features-predpol/,20210923105400,blog,2021,9,23
171,http://www.predpol.com/seattle-police-launch-predpol/,20181103003058,blog,2018,11,3
172,http://www.predpol.com/richmond-police-use-predpol-to-prevent-crime/,20140320115725,blog,2014,3,20
173,http://www.predpol.com/santa-cruz-police-join-international-predpol-day-of-action/,0,blog,0,0,0
174,http://www.predpol.com/lapd-pacific-div-creatively-deploys-predpol/,20140619211527,blog,2014,6,19
175,http://www.predpol.com/milpitas-police-enlist-predpol-to-reduce-crime/,20140320121634,blog,2014,3,20
176,http://www.predpol.com/our-hearts-go-out-to-santa-cruz-police/,20130304194253,blog,2013,3,4
177,http://www.predpol.com/lapd-predicting-crime-with-predpol-kqed-california-report/,20140320120336,blog,2014,3,20
178,http://www.predpol.com/it-world-canada-features-predpol/,20131112121928,blog,2013,11,12
179,http://www.predpol.com/washington-post-highlights-predpol-in-predictive-analytics-story/,20130304120403,blog,2013,3,4
